sysclk=50.000000 MHz, vco=600 MHz, fbdiv=50, pd1=6, pd2=2
sysclk=50.000000 MHz, vco=600 MHz, fbdiv=50, pd1=4, pd2=3
sysclk=50.000000 MHz, vco=900 MHz, fbdiv=75, pd1=6, pd2=3
sysclk=50.000000 MHz, vco=1200 MHz, fbdiv=100, pd1=6, pd2=4
sysclk=50.000000 MHz, vco=1500 MHz, fbdiv=125, pd1=6, pd2=5
sysclk=50.142857 MHz, vco=1404 MHz, fbdiv=117, pd1=7, pd2=4
sysclk=50.250000 MHz, vco=804 MHz, fbdiv=67, pd1=4, pd2=4
sysclk=50.285714 MHz, vco=1056 MHz, fbdiv=88, pd1=7, pd2=3
sysclk=50.400000 MHz, vco=504 MHz, fbdiv=42, pd1=5, pd2=2
sysclk=50.400000 MHz, vco=756 MHz, fbdiv=63, pd1=5, pd2=3
sysclk=50.400000 MHz, vco=1008 MHz, fbdiv=84, pd1=5, pd2=4
sysclk=50.400000 MHz, vco=1260 MHz, fbdiv=105, pd1=5, pd2=5
sysclk=50.400000 MHz, vco=1512 MHz, fbdiv=126, pd1=6, pd2=5
sysclk=50.500000 MHz, vco=1212 MHz, fbdiv=101, pd1=6, pd2=4
sysclk=50.571429 MHz, vco=708 MHz, fbdiv=59, pd1=7, pd2=2
sysclk=50.571429 MHz, vco=1416 MHz, fbdiv=118, pd1=7, pd2=4
sysclk=50.666667 MHz, vco=456 MHz, fbdiv=38, pd1=3, pd2=3
sysclk=50.666667 MHz, vco=912 MHz, fbdiv=76, pd1=6, pd2=3
sysclk=50.800000 MHz, vco=1524 MHz, fbdiv=127, pd1=6, pd2=5
sysclk=50.857143 MHz, vco=1068 MHz, fbdiv=89, pd1=7, pd2=3
sysclk=50.880000 MHz, vco=1272 MHz, fbdiv=106, pd1=5, pd2=5
sysclk=51.000000 MHz, vco=408 MHz, fbdiv=34, pd1=4, pd2=2
sysclk=51.000000 MHz, vco=612 MHz, fbdiv=51, pd1=6, pd2=2
sysclk=51.000000 MHz, vco=612 MHz, fbdiv=51, pd1=4, pd2=3
sysclk=51.000000 MHz, vco=816 MHz, fbdiv=68, pd1=4, pd2=4
sysclk=51.000000 MHz, vco=1020 MHz, fbdiv=85, pd1=5, pd2=4
sysclk=51.000000 MHz, vco=1224 MHz, fbdiv=102, pd1=6, pd2=4
sysclk=51.000000 MHz, vco=1428 MHz, fbdiv=119, pd1=7, pd2=4
sysclk=51.200000 MHz, vco=768 MHz, fbdiv=64, pd1=5, pd2=3
sysclk=51.200000 MHz, vco=1536 MHz, fbdiv=128, pd1=6, pd2=5
sysclk=51.333333 MHz, vco=924 MHz, fbdiv=77, pd1=6, pd2=3
sysclk=51.360000 MHz, vco=1284 MHz, fbdiv=107, pd1=5, pd2=5
sysclk=51.428571 MHz, vco=720 MHz, fbdiv=60, pd1=7, pd2=2
sysclk=51.428571 MHz, vco=1080 MHz, fbdiv=90, pd1=7, pd2=3
