sysclk=124.000000 MHz, vco=744 MHz, fbdiv=62, pd1=6, pd2=1
sysclk=124.000000 MHz, vco=744 MHz, fbdiv=62, pd1=3, pd2=2
sysclk=124.000000 MHz, vco=1116 MHz, fbdiv=93, pd1=3, pd2=3
sysclk=124.000000 MHz, vco=1488 MHz, fbdiv=124, pd1=6, pd2=2
sysclk=124.000000 MHz, vco=1488 MHz, fbdiv=124, pd1=4, pd2=3
sysclk=124.500000 MHz, vco=996 MHz, fbdiv=83, pd1=4, pd2=2
sysclk=124.800000 MHz, vco=624 MHz, fbdiv=52, pd1=5, pd2=1
sysclk=124.800000 MHz, vco=1248 MHz, fbdiv=104, pd1=5, pd2=2
sysclk=125.000000 MHz, vco=1500 MHz, fbdiv=125, pd1=6, pd2=2
sysclk=125.000000 MHz, vco=1500 MHz, fbdiv=125, pd1=4, pd2=3
sysclk=125.142857 MHz, vco=876 MHz, fbdiv=73, pd1=7, pd2=1
sysclk=125.333333 MHz, vco=1128 MHz, fbdiv=94, pd1=3, pd2=3
sysclk=126.000000 MHz, vco=504 MHz, fbdiv=42, pd1=4, pd2=1
sysclk=126.000000 MHz, vco=504 MHz, fbdiv=42, pd1=2, pd2=2
sysclk=126.000000 MHz, vco=756 MHz, fbdiv=63, pd1=6, pd2=1
sysclk=126.000000 MHz, vco=756 MHz, fbdiv=63, pd1=3, pd2=2
sysclk=126.000000 MHz, vco=1008 MHz, fbdiv=84, pd1=4, pd2=2
sysclk=126.000000 MHz, vco=1260 MHz, fbdiv=105, pd1=5, pd2=2
sysclk=126.000000 MHz, vco=1512 MHz, fbdiv=126, pd1=6, pd2=2
sysclk=126.000000 MHz, vco=1512 MHz, fbdiv=126, pd1=4, pd2=3
sysclk=126.666667 MHz, vco=1140 MHz, fbdiv=95, pd1=3, pd2=3
sysclk=126.857143 MHz, vco=888 MHz, fbdiv=74, pd1=7, pd2=1
sysclk=127.000000 MHz, vco=1524 MHz, fbdiv=127, pd1=6, pd2=2
sysclk=127.000000 MHz, vco=1524 MHz, fbdiv=127, pd1=4, pd2=3
